Al,C,Co,Cr,Cu,Fe,Mg,Mn,Mo,Ni,Si,Ti,V,Zn
35.9,3.68,4.98,9.3,3.94,19.54,1.28,13.1,3.66,0.02,0,2.42,0.7,1.48
36.78,3.74,3.14,3.66,0.36,13.1,1.36,13.9,4.44,12.52,0,4.78,0.7,1.52
36.78,3.74,3.14,3.66,0.36,13.1,1.36,13.9,4.44,12.52,0,4.78,0.7,1.52
36.76,3.76,3.14,3.66,0.36,13.1,1.36,13.9,4.44,12.52,0,4.78,0.7,1.52
36.84,3.76,3.14,3.68,0.26,13.1,1.36,13.9,4.44,12.52,0,4.78,0.7,1.52
34.64,3.78,3.28,3.68,0.34,13.12,1.16,13.58,4.66,12.54,0,4.74,3.06,1.42
39.94,3.82,3.2,9.26,0.38,19.44,1.3,13.08,4.44,0.16,0,2.64,0.7,1.64
35.7,3.8,4.98,9.3,4,19.54,1.3,13.1,3.66,0.02,0,2.42,0.7,1.48
39.12,3.8,4.9,9.26,0.38,19.54,1.42,13.12,4.48,0.02,0,2.3,0.04,1.62
39.82,3.84,4.96,9.26,0.38,19.54,1.36,13.12,3.66,0.02,0,2.32,0.08,1.64
36.78,3.76,3.12,3.66,0.46,13,1.36,13.9,4.44,12.52,0,4.78,0.7,1.52
37.04,3.78,3.12,3.66,0.3,13,1.32,13.9,4.44,12.52,0,4.78,0.68,1.46
36.82,3.78,3.12,3.66,0.42,13,1.36,13.9,4.44,12.52,0,4.78,0.68,1.52
36.76,3.78,3.4,3.66,0.36,12.84,1.34,13.9,4.44,12.52,0,4.74,0.74,1.52
36.54,3.84,4.8,9.18,3.86,18.98,1.36,13.08,3.86,0,0,2.28,0.7,1.52
25.48,3.84,4.8,9.18,3.68,18.98,1,13.08,3.86,0.06,0,2.28,12.7,1.06
33.76,4.3,5.12,9.12,2.38,18.12,1.28,3.58,4.44,1.1,0,2.6,12.8,1.4
37.78,4.4,16.2,5.38,14.2,1.24,1.38,4.7,2.54,0.22,0,4.2,6.2,1.56
41.5,4.64,11.2,1.78,0.8,1.24,1.54,2.76,1.2,11.34,0,5.28,15,1.72
41.86,4.62,11.2,1.78,0.86,1.24,1.66,2.76,0,11.34,0,5.28,15.66,1.74
39.94,4.62,11.22,2.8,1.06,1.24,1.48,3.6,0,11.34,0,5.3,15.74,1.66
39.44,4.64,11.14,1.78,0.78,3.04,1.46,3.6,1.22,11.34,0,5.48,14.44,1.64
39.46,4.62,11.14,1.78,0.78,3.04,1.46,3.6,1.22,11.34,0,5.48,14.44,1.64
39.44,4.64,11.14,1.78,0.78,3.04,1.46,3.6,1.22,11.34,0,5.48,14.44,1.64
39.44,4.64,11.2,1.78,0.78,3.04,1.44,3.58,0.02,11.34,0,5.28,15.82,1.64
39.22,4.92,11.2,1.78,0.78,3.04,1.44,3.62,0,11.3,0,5.28,15.8,1.62
39.5,4.9,11.2,1.82,0.78,3.04,1.46,2.94,0.02,11.34,0,5.48,15.88,1.64
38.48,4.92,11.18,2.9,0.78,3.04,1.42,3.34,0,11.34,0,5.28,15.72,1.6
39.7,4.92,11.14,1.82,0.8,3.04,1.46,3.38,0.84,11.34,0,5.48,14.44,1.64
37.5,4.92,11.22,2.8,1.06,3.06,1.38,3.58,0.62,11.34,0,5.3,15.66,1.56
40.16,4.9,11.22,2,0.86,3.12,1.48,3.6,0,11.34,0,5.76,13.9,1.66
39.6,5.12,11.14,1.78,0.84,1.7,1.5,2.76,1.14,11.84,0,5.28,15.66,1.64
39.96,5.14,11.14,1.82,0.82,3.04,1.46,3.38,0.84,11.34,0,5.48,13.92,1.66
37.12,5.14,12.8,2.74,0.82,3.04,1.4,3.62,1.2,11.28,0,5.48,13.82,1.54
23.68,5.22,4.08,15.7,3.28,4.04,0.88,13.18,0.68,16.58,0,4.06,7.64,0.98
15.52,5.22,4.08,15.7,11.74,4.02,0.56,13.1,0.68,16.6,0,4.52,7.62,0.64
14.8,5.22,4.08,17.96,6.98,7.72,0.54,14.86,0.8,15.52,0,3.28,7.64,0.6
20.02,5.22,4.08,15.68,6.92,4.02,0.74,13.08,0.68,16.6,0,4.52,7.62,0.82
39.74,5.24,2.14,5.2,13.34,1.24,1.48,11.26,2.6,6.02,0,4.12,5.98,1.64
36.54,5.24,15.58,5.46,10.3,0.96,1.08,12.04,1.66,0.44,0,4.12,5.08,1.5
39.38,5.26,2.24,5.2,14.18,1.24,1.44,8.6,2.58,5.84,0,4.16,8.26,1.62
38.86,5.24,16.46,0.84,10.32,1.24,1.44,12.26,1.64,0.78,0,4.12,5.2,1.6
41.54,5.26,0.52,5.2,10.16,1.24,1.54,12.26,2.62,6.12,0,4.24,7.58,1.72
39.38,5.28,2.24,5.2,14.2,1.24,1.44,8.6,2.58,5.88,0,4.16,8.18,1.62
39.38,5.28,2.24,5.2,13.62,1.24,1.44,11.22,2.58,5.88,0,4.16,6.14,1.62
22.48,5.32,4.08,15.68,7,1.14,0.82,13.08,0.78,16.58,0,4.52,7.64,0.88
21.14,5.3,4.08,18,3.26,3.52,0.78,15.04,0.8,15.56,0,4.06,7.58,0.88
21.14,5.28,4.08,18,3.28,3.52,0.78,15.04,0.8,15.56,0,4.06,7.58,0.88
21.14,5.32,4.08,18.02,3.26,3.5,0.76,15.06,0.8,15.52,0,4.06,7.62,0.86
21.26,5.3,4.08,15.32,6.96,4,0.7,13.2,0.64,15.56,0,4.5,7.6,0.88
21.18,5.3,4.08,15.42,6.92,4,0.76,13.74,0.78,14.84,0,4.5,7.6,0.88
17.38,5.28,4.08,18.08,3.16,3.94,0.6,19.04,0.78,15.52,0,3.82,7.6,0.72
21.2,5.32,4.08,15.42,6.92,4,0.72,13.08,0.78,15.52,0,4.5,7.6,0.86
22.52,5.3,4.08,18.02,3.32,2.72,0.82,13.78,0.8,15.56,0,4.56,7.6,0.92
36.6,5.36,14.16,1.28,14.38,1.22,1.3,12.34,2.58,0.26,0,4.16,4.84,1.52
39.4,5.4,15.34,1.06,10.38,0.96,1.42,12.04,2.62,0.46,0,4.2,5.1,1.62
23.6,5.44,0.04,15.5,4.28,4.16,0.84,17.44,0.78,15.5,0,3.82,7.62,0.98
15.46,5.46,4.08,20.7,4.66,7.72,0.56,13.06,0.7,15.52,0,3.84,7.6,0.64
18.98,5.82,4.08,18,7.04,3.92,0.66,13.08,0.68,15.54,0,3.8,7.62,0.78
29.08,5.94,4.56,12.94,4.06,19.14,1.02,2.04,7.54,3.84,0,3.76,4.88,1.2
33.68,5.94,4.62,12.94,4.3,18.52,1.24,2.04,2.16,1.32,0,3.94,7.92,1.38
33.48,6.02,4.62,12.9,4.4,18.52,1.3,2.04,2.16,1.32,0,3.94,7.92,1.38
33.62,6.04,4.62,12.9,4.32,18.5,1.24,2.04,2.16,1.32,0,3.94,7.92,1.38
34.36,5.98,4.94,13.08,5,18.52,0.32,2.04,2.16,1.24,0,3.82,7.28,1.26
35.28,6.02,4.62,12.9,4.18,18.52,1.2,2.04,2.16,1.32,0,3.76,6.56,1.44
32.14,6.02,7.06,13.22,10.76,9.92,0.3,2.04,2.02,3.74,0,3.7,7.9,1.18
27.14,6,7.08,13.24,4.26,21.02,1.04,2.04,2.14,3.84,0,3.76,7.32,1.12
29.14,6.02,7.12,12.92,10.62,8.18,1.06,2.04,7.62,3.84,0,3.76,6.48,1.2
31.8,6.02,4.56,13.06,2.1,18.46,1.06,1.62,7.52,3.84,0,3.76,4.88,1.32
31.78,6.04,4.62,11.38,2.78,18.46,1.18,1.62,6.8,3.78,0,3.76,6.48,1.32
30.74,6.02,5.62,11.48,2.06,18.44,1.12,2.04,6.78,3.78,0,3.68,6.98,1.26
26.58,6.02,4.62,11.2,4.96,20.94,0.9,2.04,7.54,3.84,0,3.76,6.5,1.1
31.22,6.04,4.66,13.24,2.74,21.36,1.16,2.04,2.16,3.84,0,3.76,6.5,1.28
28.84,6.04,5.46,12.94,4.12,18.46,1.04,2.06,7.52,3.7,0,3.76,4.88,1.18
29.88,6.02,4.66,12.94,10.8,9,1.12,2.04,7.52,3.76,0,3.7,7.32,1.24
43.3,1.76,2.2,1.28,5.12,5.3,1.62,2.06,1.54,18.02,0,5.74,10.26,1.8
43.4,2,2.2,1.82,5.12,5.24,1.58,2.12,4.08,14.88,0,5.48,10.28,1.8
43.44,2.04,2.2,1.82,5.02,5.24,1.62,2.12,4.08,14.88,0,5.46,10.28,1.8
43.54,2.02,2.1,1.84,5.08,5.22,1.6,2.12,4.08,14.86,0,5.46,10.28,1.8
44.62,2.02,2.2,1.84,5,5.2,0.5,2.12,4.12,14.88,0,5.48,10.24,1.78
44.52,2.02,2.2,1.86,5.16,5.22,0.4,2.12,4.08,14.88,0,5.46,10.28,1.8
44.5,2.04,2.2,1.84,5.12,5.1,0.52,2.22,4.12,14.88,0,5.48,10.24,1.74
43.68,2.04,2.2,1.84,5.06,5.1,1.4,2.22,4.12,14.88,0,5.48,10.24,1.74
42.92,2.96,5.1,1.3,5.08,3.3,1.6,2.06,4.12,14.02,0,5.48,10.28,1.78
42.8,2.94,5.1,1.3,5.08,3.3,1.62,2.06,4.12,14.02,0,5.48,10.4,1.78
43.54,3,4.66,1.28,4.98,3.3,1.6,1.96,4.12,14.06,0,5.48,10.26,1.76
43.42,2.98,4.66,1.3,5.04,3.36,1.6,1.96,4.12,14.02,0,5.48,10.26,1.8
43.94,2.98,4.66,1.3,4.5,3.36,1.6,1.96,4.12,14.02,0,5.48,10.26,1.82
43.32,3,4.66,1.28,5.14,3.3,1.62,1.96,4.12,14.06,0,5.48,10.26,1.8
43.12,3,4.66,1.3,5.3,3.36,1.62,1.96,4.12,14.02,0,5.48,10.26,1.8
45.52,3,4.66,1.26,5.1,3.36,1.7,1.96,1.54,14.02,0,5.74,10.26,1.88
43.46,2.96,4.66,1.26,5.1,3.36,1.54,1.96,4.12,14.04,0,5.48,10.26,1.8
43.32,3,4.66,1.34,5.08,3.36,1.6,2.02,4.02,14.02,0,5.52,10.26,1.8
43.42,3,4.66,1.32,5.08,3.36,1.6,1.96,4.02,14.02,0,5.48,10.28,1.8
43.42,3,4.66,1.32,5.06,3.36,1.6,1.96,4.02,14.02,0,5.52,10.26,1.8
43.24,3.18,4.66,0.52,5.04,3.3,1.46,2.12,4.12,14.86,0,5.46,10.26,1.78
33.22,3.82,2.76,10.62,8.84,2.06,1.22,6.3,1.48,10.3,0,5.56,12.44,1.38
36.18,4.92,11.22,0.04,0.98,4.62,0.32,9.84,5.5,13.16,0,2.34,9.42,1.46
34.96,4.9,11.22,0.02,1.04,4.62,1.24,9.74,5.5,13.16,0,2.34,9.82,1.44
34.94,4.92,11.22,0.02,1.04,4.62,1.24,9.7,5.5,13.2,0,2.34,9.82,1.44
35.86,4.94,11.22,0.04,1,4.62,0.32,9.74,5.5,13.16,0,2.34,9.82,1.44
35.94,4.92,11.22,0.04,1.02,4.62,0.3,9.74,5.5,13.16,0,2.34,9.82,1.38
35.88,4.94,11.22,0.04,1.02,4.62,0.3,9.74,5.5,13.16,0,2.34,9.8,1.44
36.06,4.94,11.22,0.04,0.94,4.62,0.3,9.7,5.5,13.2,0,2.34,9.82,1.32
35.88,4.94,11.22,0.04,1.08,4.62,0.3,5.82,5.5,17.08,0,2.32,9.76,1.44
35.96,4.92,11.22,0.02,1.02,4.62,0.24,9.74,5.5,13.16,0,2.24,9.92,1.44
35.98,4.94,11.22,0.04,0.98,4.62,0.3,9.84,5.5,13.3,0,2.48,9.42,1.38
35.8,4.94,11.22,0.04,1.04,4.62,0.32,9.74,5.5,13.2,0,2.24,9.92,1.42
35.96,4.92,11.22,0,0.88,4.62,0.46,9.74,5.5,13.16,0,2.24,9.92,1.38
35.8,4.9,11.22,0,1.02,4.62,0.44,9.74,5.5,13.16,0,2.24,9.92,1.44
35.74,4.92,11.22,0,1.02,4.62,0.48,9.74,5.5,13.16,0,2.24,9.92,1.44
32.3,4.96,11.22,0,4.52,4.62,0.44,5.8,5.5,17.08,0,2.34,9.92,1.3
35.74,4.96,11.22,0.02,4.54,4.62,0.5,5.88,5.5,13.32,0,2.34,9.92,1.44
33.98,5.34,2.76,6.74,20.56,0,0.4,4.08,2.92,4.24,0,5.3,12.4,1.28
33.9,5.34,2.76,6.74,20.5,0,0.46,4.08,2.92,4.24,0,5.3,12.4,1.36
36.38,5.34,2.86,6.78,8.84,2.06,0.32,6.98,2.98,7.98,0,5.58,12.44,1.46
36.42,5.34,2.86,6.78,8.8,2.06,0.32,6.98,2.98,7.98,0,5.58,12.44,1.46
36.38,5.32,2.86,6.76,8.74,2.06,0.46,7.04,2.96,7.98,0,5.58,12.44,1.42
33.7,5.34,2.86,6.8,8.8,2.06,0.42,7,2.42,11.24,0,5.56,12.44,1.36
33.7,5.34,2.86,6.78,8.86,2.08,0.3,6.44,2.42,11.38,0,5.56,12.94,1.34
33.7,5.34,2.86,6.76,8.72,2.08,0.42,6.44,2.96,11.38,0,5.56,12.44,1.34
33.74,5.34,2.86,6.76,8.72,2.06,0.4,7.04,2.36,11.36,0,5.56,12.44,1.36
36.56,5.32,2.86,6.76,8.68,2.06,0.48,7,2.94,7.88,0,5.56,12.44,1.46
36.56,5.32,2.86,6.78,8.8,2.06,0.32,7,2.94,7.88,0,5.56,12.44,1.48
36.58,5.32,2.86,6.76,8.66,2.06,0.46,6.98,2.96,7.88,0,5.56,12.44,1.48
36.56,5.32,2.86,6.76,8.68,2.06,0.46,7,2.94,7.88,0,5.56,12.44,1.48
36.6,5.3,2.86,6.76,8.74,2.06,0.38,7,2.94,7.88,0,5.56,12.44,1.48
36.7,5.34,2.86,6.78,8.78,2.06,0.3,7,2.96,7.74,0,5.58,12.44,1.46
32.62,5.34,2.86,6.78,8.88,3.76,0.24,6.44,2.42,11.38,0,5.56,12.44,1.28
36.7,5.32,2.86,6.78,8.84,2.06,0.28,7,2.96,7.72,0,5.58,12.44,1.46
36.84,5.32,2.86,6.42,8.78,2.06,0.3,7,2.96,7.96,0,5.58,12.44,1.48
49.48,5.8,2.16,10.32,0.68,1.36,0.4,9.34,5.74,6.94,0,0.96,4.84,1.98
49.7,5.86,2.16,10.18,0.64,1.36,0.42,9.84,5.78,6.92,0,0.52,4.62,2
58.26,5.84,2.16,2.42,0.84,1.36,0.6,9.34,5.78,6.94,0,0.96,3.14,2.36
49.28,5.84,2.12,9.82,0.68,1.36,0.4,9.88,5.74,7.14,0,0.96,4.82,1.96
49.26,5.88,2.16,10.12,0.56,1.36,0.56,9.84,5.78,6.94,0,0.96,4.62,1.96
49.26,6,2.12,10.28,0.7,1.34,0.42,9.88,5.52,6.94,0,0.64,4.92,1.98
49.28,6.02,2.08,10.34,0.56,1.34,0.48,9.84,5.78,6.92,0,0.64,4.74,1.98
52.86,5.96,2.14,2.72,7.6,0.76,0.5,9.42,5.62,7.06,0,0.64,2.6,2.12
49.04,5.96,2.14,2.7,7.64,0.78,0.42,13.46,5.62,7.06,0,0.64,2.6,1.94
49.02,5.96,2.14,2.7,7.66,0.78,0.42,13.46,5.74,6.94,0,0.64,2.6,1.94
49.04,5.96,2.14,2.72,7.6,0.78,0.42,13.46,5.62,7.06,0,0.64,2.6,1.96
49.36,5.98,2.14,2.72,7.46,0.76,0.42,13.28,5.74,6.92,0,0.64,2.6,1.98
53.14,5.96,2.14,2.7,7.64,0.78,0.48,9.38,5.62,6.94,0,0.52,2.6,2.1
49.3,5.96,2.16,9.8,0.7,1.36,0.44,9.88,5.72,6.94,0,0.96,4.82,1.96
49.02,5.96,2.14,2.7,7.62,0.78,0.44,13.4,5.74,7.06,0,0.64,2.6,1.9
53.02,5.96,2.14,2.7,7.66,0.8,0.48,9.38,5.78,6.92,0,0.5,2.6,2.06
53.2,5.96,2.12,2.7,7.58,0.76,0.5,9.38,5.62,6.94,0,0.52,2.6,2.12
49.3,5.96,2.14,9.8,0.8,1.36,0.38,9.88,5.74,6.94,0,0.96,4.82,1.92
41.04,1.64,15.56,5.34,2.16,3.22,0.38,16.26,1.96,3.82,0,5.9,1.1,1.62
41.04,1.66,15.56,5.34,2.14,3.22,0.38,16.26,1.96,3.82,0,5.9,1.1,1.62
40.22,1.66,15.56,5.36,2.08,3.22,0.34,16.3,1.96,3.82,0,5.86,2,1.62
40.18,1.66,15.56,5.36,2.12,3.22,0.34,16.3,1.96,3.82,0,5.86,2,1.62
40.14,1.66,15.56,8.34,2.18,0.24,0.36,16.3,1.96,3.82,0,5.86,2,1.58
40.14,1.66,15.56,8.34,2.18,0.24,0.36,16.3,1.96,3.82,0,5.86,2,1.58
41.14,1.68,15.56,5.24,2.18,3.24,0.28,16.26,1.96,3.82,0,5.9,1.1,1.64
44.06,1.7,15.56,5.34,2.18,0.26,0.4,16.02,1.96,3.82,0,5.82,1.14,1.74
40.16,1.68,15.56,8.34,2.16,0.24,0.34,16.3,1.96,3.82,0,5.86,2,1.58
40.18,1.68,15.56,8.5,2.16,0.1,0.36,16.28,1.96,3.82,0,5.82,2,1.58
41.04,1.9,15.56,5.34,2.16,3.22,0.38,16.02,1.96,3.82,0,5.9,1.08,1.62
41.06,1.92,15.56,5.34,2.06,3.22,0.42,16.02,1.96,3.82,0,5.9,1.1,1.62
41.06,1.92,15.56,5.34,2.06,3.22,0.42,16.02,1.96,3.82,0,5.9,1.1,1.62
41.06,1.9,15.56,5.34,2.12,3.22,0.34,16.02,1.96,3.82,0,5.92,1.1,1.64
40.22,1.92,15.56,8.54,2.16,0,0.34,16.04,1.96,3.76,0,5.9,2,1.6
41.04,1.92,15.56,5.34,2.16,3.22,0.38,16.04,1.96,3.82,0,5.82,1.14,1.6
41.02,1.92,15.56,5.34,2.16,3.22,0.38,16.04,1.96,3.76,0,5.9,1.14,1.6
41,1.94,15.56,5.34,2.2,3.22,0.36,16.02,1.96,3.82,0,5.82,1.14,1.62
34.96,3.04,8.34,9.6,5.56,2.42,0.32,1.04,2.66,0.88,0,5.28,24.5,1.4
34.96,3.04,8.34,9.6,5.6,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.38
34.96,3.04,8.34,9.6,5.6,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.38
34.96,3.04,8.34,9.6,5.6,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.38
34.96,3.02,8.34,9.58,5.66,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.36
34.96,3.02,8.34,9.58,5.62,2.42,0.34,1.04,2.66,0.88,0,5.28,24.5,1.36
34.96,3.04,8.34,9.6,5.58,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.4
34.96,3.04,8.34,9.6,5.58,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.4
34.96,3.02,8.34,9.6,5.64,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.36
34.96,3.06,8.34,9.6,5.62,2.42,0.32,1.04,2.66,0.88,0,5.28,24.5,1.32
27.1,3.04,8.34,9.58,5.54,2.42,0.24,1.04,2.66,0.88,0,5.28,32.84,1.04
34.98,3.02,8.34,9.6,5.64,2.42,0.3,1.04,2.66,0.88,0,5.28,24.5,1.34
34.96,3.02,8.34,9.58,5.52,2.42,0.44,1.04,2.66,0.88,0,5.28,24.5,1.36
41.62,4.14,5.82,11.18,1.28,0.88,0.42,0.36,2.7,12.52,0,0.88,16.52,1.68
38.28,4.24,5.82,6.82,1.3,6.56,0.34,0.38,3.58,12.48,0,2.82,15.84,1.54
43.8,4.24,5.82,7.08,1.46,2.78,0.36,0.28,3.6,12.48,0,0.54,15.8,1.76
43.94,4.26,5.82,6.82,1.38,0.32,0.36,0.38,3.58,12.48,0,2.7,16.2,1.76
43.6,4.28,5.82,7.08,1.38,0.36,0.36,0.38,3.52,12.48,0,2.82,16.2,1.72
39.76,4.24,5.82,7.1,1.36,4.36,0.3,0.38,3.58,12.48,0,2.82,16.2,1.6
39.84,4.28,5.82,7.06,1.4,4.2,0.36,0.38,3.58,12.48,0,2.82,16.2,1.58
39.78,4.24,5.82,7.1,1.32,4.36,0.34,0.38,3.58,12.48,0,2.82,16.2,1.58
39.72,4.26,5.82,7.08,1.42,4.36,0.34,0.38,3.58,12.48,0,2.82,16.2,1.54
39.78,4.24,5.82,7.1,1.38,4.36,0.36,0.38,3.58,12.48,0,2.82,16.2,1.5
39.74,4.28,5.82,7.08,1.34,4.4,0.36,0.38,3.58,12.48,0,2.82,16.2,1.52
39.78,4.24,5.82,7.1,1.38,4.36,0.36,0.36,3.6,12.48,0,2.82,16.2,1.5
40.06,4.26,5.86,7.1,1.34,4.3,0.34,0.38,3.6,12.48,0,2.56,16.2,1.52
40.06,4.26,5.82,7.1,1.24,4.36,0.42,0.38,3.42,12.48,0,2.82,16.1,1.54
43.14,4.22,6.24,7.06,1.42,2.78,0.36,0.26,3.64,12.38,0,0.54,16.3,1.66
44.56,4.94,4.32,2.34,0.74,3.18,0.46,13.5,8.9,4.24,0,0.94,10.24,1.64
42.22,5.14,0.28,0.02,3.04,1.38,0.42,21.96,5.42,4.36,0,0.32,13.88,1.56
42.9,5.14,0.38,0.04,1.5,1.34,0.38,22.04,6.48,3.9,0,0.38,13.86,1.66
43.66,5.12,1.02,0.04,1.42,0.06,0.38,22.02,6.54,3.9,0,0.32,13.88,1.64
43.7,5.14,0.44,0.02,0.72,1.36,0.36,22.98,5.38,3.9,0,0.38,13.9,1.72
